Colonnes,NaNs,Pourcentage
CalYear,0,0.00%
HourOfCall,0,0.00%
IncidentGroup,0,0.00%
StopCodeDescription,0,0.00%
SpecialServiceType,435192,68.64%
PropertyCategory,0,0.00%
PropertyType,0,0.00%
AddressQualifier,0,0.00%
Postcode_district,0,0.00%
IncGeo_BoroughName,0,0.00%
IncGeo_WardName,0,0.00%
Easting_rounded,0,0.00%
Northing_rounded,0,0.00%
IncidentStationGround,0,0.00%
NumStationsWithPumpsAttending,0,0.00%
PumpCount,0,0.00%
DeployedFromStation_Code,6,0.00%
DeployedFromLocation,385,0.06%
DelayCode_Description,455938,71.91%
ResponseTimeSeconds,0,0.00%
CalWeekday,0,0.00%
CalMonth,0,0.00%
