Colonnes,NaNs,Pourcentage
IncidentNumber,0,0.00%
DateOfCall,0,0.00%
CalYear,0,0.00%
TimeOfCall,0,0.00%
HourOfCall,0,0.00%
IncidentGroup,6,0.00%
StopCodeDescription,0,0.00%
SpecialServiceType,492049,64.80%
PropertyCategory,6,0.00%
PropertyType,6,0.00%
AddressQualifier,1,0.00%
Postcode_full,418831,55.16%
Postcode_district,0,0.00%
UPRN,0,0.00%
USRN,0,0.00%
IncGeo_BoroughCode,0,0.00%
IncGeo_BoroughName,0,0.00%
ProperCase,0,0.00%
IncGeo_WardCode,448,0.06%
IncGeo_WardName,448,0.06%
IncGeo_WardNameNew,448,0.06%
Easting_m,418831,55.16%
Northing_m,418831,55.16%
Easting_rounded,0,0.00%
Northing_rounded,0,0.00%
Latitude,418831,55.16%
Longitude,418831,55.16%
FRS,0,0.00%
IncidentStationGround,1,0.00%
FirstPumpArriving_AttendanceTime,42985,5.66%
FirstPumpArriving_DeployedFromStation,42991,5.66%
SecondPumpArriving_AttendanceTime,480971,63.34%
SecondPumpArriving_DeployedFromStation,480976,63.34%
NumStationsWithPumpsAttending,8133,1.07%
NumPumpsAttending,8133,1.07%
PumpCount,0,0.00%
PumpMinutesRounded,0,0.00%
Notional Cost (Â£),0,0.00%
NumCalls,21,0.00%
