Colonnes,NaNs,Pourcentage
IncidentNumber,0,0.00%
CalYear,0,0.00%
HourOfCall,0,0.00%
ResourceMobilisationId,0,0.00%
Resource_Code,0,0.00%
PerformanceReporting,0,0.00%
DateAndTimeMobilised,0,0.00%
DateAndTimeMobile,7276,0.82%
DateAndTimeArrived,0,0.00%
TurnoutTimeSeconds,7302,0.83%
TravelTimeSeconds,7387,0.84%
AttendanceTimeSeconds,0,0.00%
DateAndTimeLeft,1021,0.12%
DateAndTimeReturned,787913,89.17%
DeployedFromStation_Code,21,0.00%
DeployedFromStation_Name,21,0.00%
DeployedFromLocation,684,0.08%
PumpOrder,0,0.00%
PlusCode_Code,0,0.00%
PlusCode_Description,0,0.00%
DelayCodeId,667890,75.58%
DelayCode_Description,667890,75.58%
